ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description,Error
COPERNICUS/S2_SR_HARMONIZED/20211103T104119_20211103T104536_T31TCH,2021-11-03,2021-11-03,SENTINEL_2,50.72,3.69,0.17,0.17,0.17,0.17,,,0.00,2021_11_03-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20211104,2021-11-04,2021-11-04,LANDSAT_9,16.25,0.25,0.25,0.25,0.25,0.25,,,0.00,2021_11_04-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20211106T105139_20211106T105141_T31TCH,2021-11-06,2021-11-06,SENTINEL_2,0.50,0.50,0.50,0.50,0.50,0.50,,,0.00,2021_11_06-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20211107,2021-11-07,2021-11-07,LANDSAT_8,17.17,0.16,0.16,0.16,0.16,0.16,,,0.00,2021_11_07-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20211111T105301_20211111T105443_T31TCH,2021-11-11,2021-11-11,SENTINEL_2,99.51,0.92,0.92,0.92,0.92,0.92,,,0.00,2021_11_11-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211113T104209_20211113T104209_T31TCH,2021-11-13,2021-11-13,SENTINEL_2,2.95,2.08,0.05,0.05,0.05,0.05,,,0.00,2021_11_13-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211116T105229_20211116T105226_T31TCH,2021-11-16,2021-11-16,SENTINEL_2,88.53,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_11_16-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211118T104331_20211118T104840_T31TCH,2021-11-18,2021-11-18,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_11_18-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211121T105341_20211121T105441_T31TCH,2021-11-21,2021-11-21,SENTINEL_2,96.84,77.82,59.06,51.13,50.07,4.26,1975.00,2007.00,5.00,2021_11_21-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20211123,2021-11-23,2021-11-23,LANDSAT_8,79.99,77.85,59.88,51.74,50.85,3.16,1959.00,2007.00,5.00,2021_11_23-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20211123T104249_20211123T104249_T31TCH,2021-11-23,2021-11-23,SENTINEL_2,99.99,77.82,59.06,51.13,50.07,3.14,1975.00,2007.00,5.00,2021_11_23-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211126T105309_20211126T105346_T31TCH,2021-11-26,2021-11-26,SENTINEL_2,62.73,45.11,10.66,3.99,2.30,0.00,1943.00,1959.00,2.00,2021_11_26-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211128T104411_20211128T104437_T31TCH,2021-11-28,2021-11-28,SENTINEL_2,87.03,55.67,16.72,6.69,4.82,0.58,1975.00,1991.00,5.00,2021_11_28-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211201T105421_20211201T105655_T31TCH,2021-12-01,2021-12-01,SENTINEL_2,100.00,52.44,29.73,18.88,17.52,1.18,1783.00,1815.00,5.00,2021_12_01-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211203T104319_20211203T104320_T31TCH,2021-12-03,2021-12-03,SENTINEL_2,58.85,7.83,2.40,0.88,0.88,0.88,1767.00,,0.00,2021_12_03-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211206T105329_20211206T105331_T31TCH,2021-12-06,2021-12-06,SENTINEL_2,9.69,6.14,1.41,0.31,0.31,0.31,1703.00,,0.00,2021_12_06-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211208T104431_20211208T104436_T31TCH,2021-12-08,2021-12-08,SENTINEL_2,56.70,0.88,0.88,0.88,0.88,0.88,,,0.00,2021_12_08-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20211209,2021-12-09,2021-12-09,LANDSAT_8,6.68,2.42,0.34,0.34,0.34,0.34,,,0.00,2021_12_09-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20211211T105441_20211211T105442_T31TCH,2021-12-11,2021-12-11,SENTINEL_2,27.15,2.44,0.29,0.29,0.29,0.29,,,0.00,2021_12_11-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211216T105349_20211216T105434_T31TCH,2021-12-16,2021-12-16,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_12_16-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20211217,2021-12-17,2021-12-17,LANDSAT_9,1.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2021_12_17-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20211218T104441_20211218T104443_T31TCH,2021-12-18,2021-12-18,SENTINEL_2,0.24,0.24,0.24,0.24,0.24,0.24,,,0.00,2021_12_18-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211221T105451_20211221T105449_T31TCH,2021-12-21,2021-12-21,SENTINEL_2,1.66,0.01,0.01,0.01,0.01,0.01,,,0.00,2021_12_21-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211223T104349_20211223T104345_T31TCH,2021-12-23,2021-12-23,SENTINEL_2,0.85,0.85,0.85,0.85,0.85,0.85,,,0.00,2021_12_23-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20211225,2021-12-25,2021-12-25,LANDSAT_8,47.34,0.06,0.06,0.06,0.06,0.06,,,0.00,2021_12_25-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20211226T105349_20211226T105436_T31TCH,2021-12-26,2021-12-26,SENTINEL_2,3.89,3.04,0.06,0.06,0.06,0.06,,,0.00,2021_12_26-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211228T104441_20211228T104443_T31TCH,2021-12-28,2021-12-28,SENTINEL_2,95.67,3.04,0.06,0.06,0.06,0.06,,,0.00,2021_12_28-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20211231T105441_20211231T105444_T31TCH,2021-12-31,2021-12-31,SENTINEL_2,0.01,0.01,0.01,0.01,0.01,0.01,,,0.00,2021_12_31-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220102,2022-01-02,2022-01-02,LANDSAT_9,7.07,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_01_02-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220102T104339_20220102T104336_T31TCH,2022-01-02,2022-01-02,SENTINEL_2,8.85,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_01_02-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220105T105339_20220105T105335_T31TCH,2022-01-05,2022-01-05,SENTINEL_2,97.66,4.79,0.11,0.11,0.11,0.11,,,0.00,2022_01_05-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220107T104431_20220107T104439_T31TCH,2022-01-07,2022-01-07,SENTINEL_2,67.82,59.26,21.89,10.42,9.16,0.44,1799.00,1831.00,2.00,2022_01_07-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220110T105421_20220110T105442_T31TCH,2022-01-10,2022-01-10,SENTINEL_2,90.16,24.75,4.74,0.39,0.39,0.39,1847.00,,0.00,2022_01_10-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220112T104319_20220112T104314_T31TCH,2022-01-12,2022-01-12,SENTINEL_2,35.12,1.10,0.00,0.00,0.00,0.00,,,0.00,2022_01_12-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220115T105309_20220115T105357_T31TCH,2022-01-15,2022-01-15,SENTINEL_2,1.28,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_01_15-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220117T104401_20220117T104908_T31TCH,2022-01-17,2022-01-17,SENTINEL_2,0.16,0.16,0.16,0.16,0.16,0.16,,,0.00,2022_01_17-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220118,2022-01-18,2022-01-18,LANDSAT_9,1.63,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_01_18-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220120T105351_20220120T105629_T31TCH,2022-01-20,2022-01-20,SENTINEL_2,13.85,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_01_20-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220122T104239_20220122T104236_T31TCH,2022-01-22,2022-01-22,SENTINEL_2,0.13,0.13,0.13,0.13,0.13,0.13,,,0.00,2022_01_22-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220125T105229_20220125T105232_T31TCH,2022-01-25,2022-01-25,SENTINEL_2,0.14,0.14,0.14,0.14,0.14,0.14,,,0.00,2022_01_25-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220126,2022-01-26,2022-01-26,LANDSAT_8,3.05,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_01_26-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220127T104321_20220127T104452_T31TCH,2022-01-27,2022-01-27,SENTINEL_2,0.29,0.29,0.29,0.29,0.29,0.29,,,0.00,2022_01_27-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220130T105301_20220130T105543_T31TCH,2022-01-30,2022-01-30,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_01_30-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220201T104149_20220201T104852_T31TCH,2022-02-01,2022-02-01,SENTINEL_2,17.41,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_02_01-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220203,2022-02-03,2022-02-03,LANDSAT_9,2.67,0.59,0.59,0.59,0.59,0.59,,,0.00,2022_02_03-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220204T105139_20220204T105135_T31TCH,2022-02-04,2022-02-04,SENTINEL_2,100.00,0.03,0.03,0.03,0.03,0.03,,,0.00,2022_02_04-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220206T104221_20220206T104357_T31TCH,2022-02-06,2022-02-06,SENTINEL_2,1.13,0.03,0.03,0.03,0.03,0.03,,,0.00,2022_02_06-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220209T105211_20220209T105206_T31TCH,2022-02-09,2022-02-09,SENTINEL_2,0.22,0.22,0.22,0.22,0.22,0.22,,,0.00,2022_02_09-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220211T104049_20220211T104642_T31TCH,2022-02-11,2022-02-11,SENTINEL_2,87.14,0.19,0.19,0.19,0.19,0.19,,,0.00,2022_02_11-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220211,2022-02-11,2022-02-11,LANDSAT_8,72.12,0.19,0.19,0.19,0.19,0.19,,,0.00,2022_02_11-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220214T105039_20220214T105033_T31TCH,2022-02-14,2022-02-14,SENTINEL_2,90.90,78.53,48.15,33.62,32.40,2.19,1831.00,1879.00,5.00,2022_02_14-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220216T104121_20220216T104757_T31TCH,2022-02-16,2022-02-16,SENTINEL_2,100.00,90.90,74.02,62.85,62.13,0.27,1635.00,1671.00,5.00,2022_02_16-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220219T105101_20220219T105343_T31TCH,2022-02-19,2022-02-19,SENTINEL_2,100.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_02_19-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220219,2022-02-19,2022-02-19,LANDSAT_9,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_02_19-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220221T103949_20220221T104851_T31TCH,2022-02-21,2022-02-21,SENTINEL_2,2.19,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_02_21-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220224T104929_20220224T105036_T31TCH,2022-02-24,2022-02-24,SENTINEL_2,0.01,0.01,0.01,0.01,0.01,0.01,,,0.00,2022_02_24-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220226T104011_20220226T104440_T31TCH,2022-02-26,2022-02-26,SENTINEL_2,0.11,0.11,0.11,0.11,0.11,0.11,,,0.00,2022_02_26-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220227,2022-02-27,2022-02-27,LANDSAT_8,16.44,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_02_27-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220301T105001_20220301T105446_T31TCH,2022-03-01,2022-03-01,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_03_01-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220303T103839_20220303T104856_T31TCH,2022-03-03,2022-03-03,SENTINEL_2,24.76,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_03_03-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220306T104819_20220306T105455_T31TCH,2022-03-06,2022-03-06,SENTINEL_2,99.82,60.27,25.34,17.75,16.00,14.30,1907.00,1907.00,5.00,2022_03_06-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220307,2022-03-07,2022-03-07,LANDSAT_9,60.37,60.27,26.23,18.43,16.59,14.56,1907.00,1915.00,5.00,2022_03_07-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220308T103901_20220308T104311_T31TCH,2022-03-08,2022-03-08,SENTINEL_2,99.85,60.27,25.34,17.75,16.00,14.69,1907.00,1907.00,5.00,2022_03_08-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220311T104841_20220311T105448_T31TCH,2022-03-11,2022-03-11,SENTINEL_2,100.00,99.68,96.51,93.56,92.14,85.39,2219.00,2251.00,5.00,2022_03_11-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220313T103729_20220313T104615_T31TCH,2022-03-13,2022-03-13,SENTINEL_2,99.84,27.00,15.62,15.21,13.62,1.29,1931.00,1931.00,5.00,2022_03_13-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220315,2022-03-15,2022-03-15,LANDSAT_8,27.00,27.00,15.90,15.46,13.85,1.34,1931.00,1931.00,5.00,2022_03_15-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220316T104709_20220316T105811_T31TCH,2022-03-16,2022-03-16,SENTINEL_2,100.00,27.00,15.62,15.21,13.62,1.29,1931.00,1931.00,5.00,2022_03_16-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220318T103751_20220318T104246_T31TCH,2022-03-18,2022-03-18,SENTINEL_2,100.00,27.00,15.62,15.21,13.62,13.62,1931.00,1931.00,5.00,2022_03_18-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220321T104731_20220321T105204_T31TCH,2022-03-21,2022-03-21,SENTINEL_2,98.15,0.03,0.03,0.03,0.03,0.03,,,0.00,2022_03_21-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220323T103639_20220323T104819_T31TCH,2022-03-23,2022-03-23,SENTINEL_2,0.05,0.05,0.05,0.05,0.05,0.05,,,0.00,2022_03_23-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220323,2022-03-23,2022-03-23,LANDSAT_9,8.62,0.03,0.03,0.03,0.03,0.03,,,0.00,2022_03_23-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220326T104639_20220326T105806_T31TCH,2022-03-26,2022-03-26,SENTINEL_2,42.52,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_03_26-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220328T103641_20220328T104134_T31TCH,2022-03-28,2022-03-28,SENTINEL_2,58.04,33.25,21.71,21.19,16.39,15.47,2123.00,2115.00,5.00,2022_03_28-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220331,2022-03-31,2022-03-31,LANDSAT_8,63.39,39.93,7.10,2.92,1.71,1.63,1831.00,1847.00,5.00,2022_03_31-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220331T104621_20220331T105151_T31TCH,2022-03-31,2022-03-31,SENTINEL_2,85.05,39.90,6.26,2.42,1.47,1.39,1831.00,1831.00,5.00,2022_03_31-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220402T103619_20220402T104811_T31TCH,2022-04-02,2022-04-02,SENTINEL_2,74.04,39.90,6.26,2.16,1.30,0.22,1783.00,1783.00,3.00,2022_04_02-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220405T104619_20220405T105417_T31TCH,2022-04-05,2022-04-05,SENTINEL_2,0.02,0.02,0.02,0.02,0.02,0.02,,,0.00,2022_04_05-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220408,2022-04-08,2022-04-08,LANDSAT_9,6.50,0.01,0.01,0.01,0.01,0.01,,,0.00,2022_04_08-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220410T104621_20220410T105342_T31TCH,2022-04-10,2022-04-10,SENTINEL_2,1.08,0.12,0.12,0.12,0.12,0.12,,,0.00,2022_04_10-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220412T103619_20220412T104829_T31TCH,2022-04-12,2022-04-12,SENTINEL_2,63.10,0.43,0.43,0.43,0.43,0.43,,,0.00,2022_04_12-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220415T104619_20220415T105854_T31TCH,2022-04-15,2022-04-15,SENTINEL_2,54.16,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_04_15-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220416,2022-04-16,2022-04-16,LANDSAT_8,14.93,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_04_16-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220417T103631_20220417T104402_T31TCH,2022-04-17,2022-04-17,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_04_17-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220420T104631_20220420T105805_T31TCH,2022-04-20,2022-04-20,SENTINEL_2,98.04,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_04_20-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220422T103619_20220422T103701_T31TCH,2022-04-22,2022-04-22,SENTINEL_2,96.39,64.94,24.59,16.42,13.57,12.20,1963.00,1971.00,5.00,2022_04_22-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220424,2022-04-24,2022-04-24,LANDSAT_9,68.61,30.90,4.95,4.22,1.25,0.00,2059.00,2059.00,5.00,2022_04_24-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220425T104619_20220425T105855_T31TCH,2022-04-25,2022-04-25,SENTINEL_2,47.44,23.18,3.29,3.11,0.97,0.97,2087.00,2087.00,0.00,2022_04_25-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220427T103631_20220427T104403_T31TCH,2022-04-27,2022-04-27,SENTINEL_2,65.87,23.18,3.29,3.12,0.97,0.97,2103.00,2103.00,0.00,2022_04_27-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220430T104631_20220430T105446_T31TCH,2022-04-30,2022-04-30,SENTINEL_2,79.58,78.49,42.82,33.98,25.36,1.15,2139.00,2155.00,5.00,2022_04_30-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220502T103619_20220502T103700_T31TCH,2022-05-02,2022-05-02,SENTINEL_2,100.00,78.49,42.82,34.03,25.38,16.33,2147.00,2155.00,5.00,2022_05_02-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220502,2022-05-02,2022-05-02,LANDSAT_8,98.59,78.48,44.83,35.73,27.81,18.06,2147.00,2163.00,5.00,2022_05_02-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220505T104619_20220505T105854_T31TCH,2022-05-05,2022-05-05,SENTINEL_2,96.77,96.77,86.20,82.15,81.04,64.54,1531.00,1611.00,5.00,2022_05_05-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220507T103631_20220507T104403_T31TCH,2022-05-07,2022-05-07,SENTINEL_2,100.00,37.11,5.43,4.56,2.44,2.21,2263.00,2263.00,5.00,2022_05_07-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220510,2022-05-10,2022-05-10,LANDSAT_9,38.94,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_05_10-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220510T104621_20220510T104859_T31TCH,2022-05-10,2022-05-10,SENTINEL_2,13.75,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_05_10-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220512T103619_20220512T103704_T31TCH,2022-05-12,2022-05-12,SENTINEL_2,1.69,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_05_12-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220515T104619_20220515T105900_T31TCH,2022-05-15,2022-05-15,SENTINEL_2,52.89,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_05_15-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220517T103631_20220517T104431_T31TCH,2022-05-17,2022-05-17,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_05_17-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220518,2022-05-18,2022-05-18,LANDSAT_8,51.32,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_05_18-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220520T104631_20220520T105857_T31TCH,2022-05-20,2022-05-20,SENTINEL_2,0.61,0.61,0.61,0.61,0.61,0.61,,,0.00,2022_05_20-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220522T103629_20220522T103706_T31TCH,2022-05-22,2022-05-22,SENTINEL_2,9.95,0.01,0.01,0.01,0.01,0.01,,,0.00,2022_05_22-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220525T104619_20220525T105858_T31TCH,2022-05-25,2022-05-25,SENTINEL_2,98.72,1.53,0.03,0.03,0.03,0.03,,,0.00,2022_05_25-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220526,2022-05-26,2022-05-26,LANDSAT_9,50.55,1.53,0.06,0.06,0.06,0.06,,,0.00,2022_05_26-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220527T103631_20220527T104442_T31TCH,2022-05-27,2022-05-27,SENTINEL_2,4.11,1.53,0.03,0.03,0.03,0.03,,,0.00,2022_05_27-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220530T104631_20220530T105902_T31TCH,2022-05-30,2022-05-30,SENTINEL_2,77.84,0.23,0.23,0.23,0.23,0.23,,,0.00,2022_05_30-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220601T103629_20220601T104904_T31TCH,2022-06-01,2022-06-01,SENTINEL_2,4.26,2.30,0.11,0.11,0.11,0.11,,,0.00,2022_06_01-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220603,2022-06-03,2022-06-03,LANDSAT_8,41.29,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_06_03-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220604T104619_20220604T105858_T31TCH,2022-06-04,2022-06-04,SENTINEL_2,10.26,1.31,0.02,0.02,0.02,0.02,,,0.00,2022_06_04-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220606T103631_20220606T104438_T31TCH,2022-06-06,2022-06-06,SENTINEL_2,33.34,1.31,0.02,0.02,0.02,0.02,,,0.00,2022_06_06-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220609T104631_20220609T105816_T31TCH,2022-06-09,2022-06-09,SENTINEL_2,1.22,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_06_09-Sentinel2,
