ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description,Temporada,Fuente_csv,Error,Tif_logico,Ruta_tif,Nieve_km2,Nieve_pct_Andorra,Tierra_km2,Tierra_pct_Andorra,Nubes_km2,Nubes_pct_Andorra,Snowline_final_p20_m,Nieve_Arbolado_Denso_km2,Nieve_Arbolado_Denso_pct,Pct_cob_nevada_Arbolado_Denso,Nieve_Cultivos_km2,Nieve_Cultivos_pct,Pct_cob_nevada_Cultivos,Nieve_Vias_Comunicacion_km2,Nieve_Vias_Comunicacion_pct,Pct_cob_nevada_Vias_Comunicacion,Nieve_Matorrales_km2,Nieve_Matorrales_pct,Pct_cob_nevada_Matorrales,Nieve_Zonas_Desnudas_km2,Nieve_Zonas_Desnudas_pct,Pct_cob_nevada_Zonas_Desnudas,Nieve_Prados_km2,Nieve_Prados_pct,Pct_cob_nevada_Prados,Nieve_Roquedos_km2,Nieve_Roquedos_pct,Pct_cob_nevada_Roquedos,Nieve_Zonas_Deportivas_km2,Nieve_Zonas_Deportivas_pct,Pct_cob_nevada_Zonas_Deportivas,Nieve_Canchales_km2,Nieve_Canchales_pct,Pct_cob_nevada_Canchales,Nieve_Zonas_Urbanas_km2,Nieve_Zonas_Urbanas_pct,Pct_cob_nevada_Zonas_Urbanas,Nieve_Arbolado_Claro_km2,Nieve_Arbolado_Claro_pct,Pct_cob_nevada_Arbolado_Claro,Nieve_Aguas_km2,Nieve_Aguas_pct,Pct_cob_nevada_Aguas
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150312,2015-03-12,2015-03-12,LANDSAT_8,5.46,5.46,0.23,0.23,0.23,0.23,,,0.00,2015_03_12-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2015_03_12-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_03_12-Landsat8.tif,373.95,80.17,94.02,20.16,1.16,0.25,1920,127.72,34.16,67.71,3.26,0.87,40.66,1.39,0.37,51.15,32.10,8.58,73.98,3.08,0.82,77.86,111.73,29.88,95.47,28.44,7.60,88.96,0.02,0.01,17.49,58.90,15.75,97.25,1.77,0.47,25.00,1.87,0.50,94.82,1.77,0.47,87.90
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150328,2015-03-28,2015-03-28,LANDSAT_8,10.42,10.42,0.47,0.47,0.47,0.47,,,0.00,2015_03_28-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2015_03_28-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_03_28-Landsat8.tif,352.09,75.48,114.90,24.63,2.14,0.46,1970,111.85,31.77,59.29,2.05,0.58,25.57,1.16,0.33,42.61,30.91,8.78,71.23,2.95,0.84,74.54,110.24,31.31,94.20,27.77,7.89,86.89,0.01,0.00,4.37,58.44,16.60,96.49,1.28,0.36,18.12,1.83,0.52,92.99,1.75,0.50,86.79
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150413,2015-04-13,2015-04-13,LANDSAT_8,22.12,22.12,1.52,0.75,0.75,0.75,2055.00,,0.00,2015_04_13-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2015_04_13-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_04_13-Landsat8.tif,316.44,67.84,149.35,32.02,3.34,0.72,2052,84.73,26.78,44.92,1.70,0.54,21.18,0.97,0.31,35.59,28.90,9.13,66.62,2.93,0.93,74.11,105.86,33.45,90.45,27.39,8.66,85.69,0.01,0.00,8.74,57.68,18.23,95.24,0.91,0.29,12.88,1.75,0.55,89.11,1.77,0.56,87.55
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150531,2015-05-31,2015-05-31,LANDSAT_8,80.11,80.11,22.79,14.58,13.54,1.62,1767.00,1799.00,5.00,2015_05_31-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2015_05_31-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_05_31-Landsat8.tif,287.94,61.73,174.05,37.31,7.14,1.53,1796,95.51,33.17,50.63,3.06,1.06,38.24,1.21,0.42,44.70,24.40,8.48,56.25,2.47,0.86,62.41,75.68,26.28,64.67,27.32,9.49,85.46,0.06,0.02,45.18,50.73,17.62,83.76,3.04,1.05,42.91,1.14,0.39,57.67,1.71,0.59,84.56
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150616,2015-06-16,2015-06-16,LANDSAT_8,78.91,78.91,29.67,18.79,15.47,0.00,1895.00,1959.00,5.00,2015_06_16-Landsat8,2014-2015,Tabla_Nubes_Snowline_2014_2015.csv,,2015_06_16-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_06_16-Landsat8.tif,209.34,44.88,259.78,55.69,0.00,0.00,1948,55.32,26.43,29.33,1.58,0.76,19.78,0.77,0.37,28.18,20.12,9.61,46.38,1.90,0.91,47.93,66.21,31.63,56.58,20.11,9.61,62.92,0.01,0.00,8.02,37.90,18.11,62.59,2.03,0.97,28.70,0.76,0.36,38.52,1.39,0.66,68.85
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151107,2015-11-07,2015-11-07,LANDSAT_8,9.00,9.00,0.44,0.44,0.44,0.44,,,0.00,2015_11_07-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2015_11_07-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_11_07-Landsat8.tif,162.73,34.89,304.13,65.20,2.26,0.48,1672,80.54,49.49,42.70,0.69,0.43,8.64,0.67,0.41,24.50,9.70,5.96,22.37,1.00,0.61,25.22,18.99,11.67,16.23,13.15,8.08,41.14,0.01,0.00,5.83,33.83,20.79,55.87,1.62,1.00,22.90,0.27,0.17,13.89,1.34,0.83,66.66
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151123,2015-11-23,2015-11-23,LANDSAT_8,16.80,16.80,0.93,0.93,0.93,0.93,,,0.00,2015_11_23-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2015_11_23-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_11_23-Landsat8.tif,419.07,89.84,45.93,9.85,4.12,0.88,1793,158.66,37.86,84.11,5.16,1.23,64.39,2.18,0.52,80.16,35.11,8.38,80.93,3.48,0.83,88.06,114.25,27.26,97.62,30.00,7.16,93.84,0.11,0.03,89.63,59.47,14.19,98.19,4.91,1.17,69.41,1.92,0.46,97.56,1.89,0.45,93.66
COPERNICUS/S2_SR_HARMONIZED/20151203T105422_20151203T105811_T31TCH,2015-12-03,2015-12-03,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,2015_12_03-Sentinel2,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2015_12_03-Sentinel2.tif,/content/drive/MyDrive/Mapas_Nieve/2015_12_03-Sentinel2.tif,306.44,65.70,161.27,34.57,0.00,0.00,2034,72.44,23.64,38.40,2.62,0.85,32.64,1.09,0.36,40.05,31.69,10.34,73.05,3.03,0.99,76.55,109.17,35.62,93.28,26.01,8.49,81.37,0.01,0.00,8.74,55.21,18.02,91.16,1.33,0.43,18.77,1.84,0.60,93.37,1.52,0.49,75.15
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151209,2015-12-09,2015-12-09,LANDSAT_8,7.64,7.64,0.37,0.37,0.37,0.37,,,0.00,2015_12_09-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2015_12_09-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_12_09-Landsat8.tif,393.74,84.41,73.54,15.77,1.84,0.39,1834,142.02,36.07,75.29,4.33,1.10,54.03,2.05,0.52,75.42,32.30,8.20,74.44,3.43,0.87,86.85,111.68,28.36,95.42,28.04,7.12,87.70,0.05,0.01,44.45,59.15,15.02,97.67,4.91,1.25,69.37,1.87,0.48,95.05,1.94,0.49,96.02
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151225,2015-12-25,2015-12-25,LANDSAT_8,13.52,13.52,0.48,0.48,0.48,0.48,,,0.00,2015_12_25-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2015_12_25-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2015_12_25-Landsat8.tif,364.01,78.04,102.70,22.02,2.42,0.52,1817,128.67,35.35,68.21,4.50,1.24,56.19,2.03,0.56,74.76,27.62,7.59,63.66,3.48,0.96,87.99,103.20,28.35,88.18,26.16,7.19,81.83,0.06,0.02,52.46,57.56,15.81,95.05,5.33,1.46,75.26,1.58,0.43,80.29,1.96,0.54,97.05
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160126,2016-01-26,2016-01-26,LANDSAT_8,12.43,12.43,0.41,0.41,0.41,0.41,,,0.00,2016_01_26-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2016_01_26-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_01_26-Landsat8.tif,384.97,82.53,82.16,17.61,2.00,0.43,1832,140.26,36.43,74.35,4.38,1.14,54.73,1.97,0.51,72.51,30.08,7.81,69.33,3.49,0.91,88.36,107.93,28.04,92.22,27.54,7.15,86.14,0.11,0.03,85.98,58.75,15.26,97.02,4.80,1.25,67.87,1.81,0.47,91.80,1.92,0.50,95.31
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160314,2016-03-14,2016-03-14,LANDSAT_8,33.81,33.81,3.75,3.07,2.30,0.06,1831.00,1831.00,2.00,2016_03_14-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2016_03_14-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_03_14-Landsat8.tif,411.05,88.12,57.80,12.39,0.27,0.06,1818,153.79,37.41,81.53,3.94,0.96,49.17,1.95,0.48,71.91,35.38,8.61,81.54,3.35,0.82,84.80,113.37,27.58,96.87,29.95,7.29,93.70,0.02,0.01,18.95,59.59,14.50,98.41,3.86,0.94,54.60,1.92,0.47,97.38,1.86,0.45,92.19
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160330,2016-03-30,2016-03-30,LANDSAT_8,63.78,63.78,10.40,6.30,5.00,3.86,1795.00,1795.00,5.00,2016_03_30-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2016_03_30-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_03_30-Landsat8.tif,411.88,88.30,40.59,8.70,16.65,3.57,1790,151.90,36.88,80.52,5.08,1.23,63.42,1.90,0.46,69.96,37.13,9.01,85.57,3.40,0.83,85.99,111.61,27.10,95.37,30.12,7.31,94.23,0.07,0.02,60.48,59.77,14.51,98.69,5.12,1.24,72.29,1.92,0.47,97.56,1.86,0.45,92.32
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160415,2016-04-15,2016-04-15,LANDSAT_8,35.21,35.21,5.14,4.12,1.85,0.11,2007.00,2007.00,2.00,2016_04_15-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2016_04_15-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_04_15-Landsat8.tif,330.00,70.75,138.66,29.73,0.46,0.10,2005,96.69,29.30,51.25,1.63,0.49,20.32,1.02,0.31,37.68,29.57,8.96,68.17,2.92,0.88,73.77,105.38,31.93,90.04,28.17,8.54,88.12,0.02,0.01,14.57,57.61,17.46,95.13,1.51,0.46,21.40,1.79,0.54,90.98,1.78,0.54,88.26
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160517,2016-05-17,2016-05-17,LANDSAT_8,28.40,28.40,7.60,6.67,4.88,0.00,2263.00,2247.00,2.00,2016_05_17-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2016_05_17-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_05_17-Landsat8.tif,195.18,41.84,273.94,58.73,0.00,0.00,2252,25.90,13.27,13.73,0.04,0.02,0.54,0.35,0.18,12.75,18.23,9.34,42.01,2.29,1.17,57.79,68.36,35.02,58.41,24.75,12.68,77.42,0.00,0.00,0.00,51.21,26.24,84.56,0.10,0.05,1.39,0.71,0.37,36.19,1.73,0.88,85.54
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160602,2016-06-02,2016-06-02,LANDSAT_8,37.51,37.51,6.78,4.24,2.25,0.81,2151.00,2167.00,3.00,2016_06_02-Landsat8,2015-2016,Tabla_Nubes_Snowline_2015_2016.csv,,2016_06_02-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_06_02-Landsat8.tif,134.56,28.85,331.11,70.99,3.45,0.74,2177,23.23,17.26,12.31,0.23,0.17,2.91,0.31,0.23,11.36,9.50,7.06,21.90,1.47,1.09,37.17,38.29,28.46,32.72,18.74,13.92,58.61,0.00,0.00,0.00,39.11,29.06,64.58,0.69,0.52,9.82,0.17,0.12,8.50,1.59,1.18,78.62
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20161008,2016-10-08,2016-10-08,LANDSAT_8,0.26,0.26,0.26,0.26,0.26,0.26,,,0.00,2016_10_08-Landsat8,2016-2017,Tabla_Nubes_Snowline_2016_2017.csv,,2016_10_08-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_10_08-Landsat8.tif,57.36,12.30,410.50,88.01,1.25,0.27,1537,45.51,79.34,24.12,0.04,0.07,0.47,0.19,0.34,7.12,1.39,2.41,3.19,0.05,0.10,1.39,0.23,0.40,0.20,4.03,7.02,12.60,0.00,0.00,0.00,4.44,7.74,7.33,0.46,0.79,6.43,0.03,0.05,1.42,0.96,1.67,47.39
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20161109,2016-11-09,2016-11-09,LANDSAT_8,32.08,32.08,0.65,0.65,0.65,0.65,,,0.00,2016_11_09-Landsat8,2016-2017,Tabla_Nubes_Snowline_2016_2017.csv,,2016_11_09-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_11_09-Landsat8.tif,453.00,97.12,13.37,2.87,2.76,0.59,1681,178.71,39.45,94.73,7.17,1.58,89.49,2.60,0.57,95.69,40.32,8.90,92.93,3.83,0.85,96.98,115.76,25.55,98.92,31.48,6.95,98.47,0.12,0.03,93.27,60.18,13.28,99.37,6.88,1.52,97.21,1.96,0.43,99.71,2.00,0.44,99.10
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20161125,2016-11-25,2016-11-25,LANDSAT_8,2.80,2.80,0.13,0.13,0.13,0.13,,,0.00,2016_11_25-Landsat8,2016-2017,Tabla_Nubes_Snowline_2016_2017.csv,,2016_11_25-Landsat8.tif,/content/drive/MyDrive/Mapas_Nieve/2016_11_25-Landsat8.tif,409.66,87.82,58.80,12.61,0.67,0.14,1825,155.26,37.90,82.30,4.53,1.11,56.56,2.01,0.49,73.93,33.82,8.25,77.94,3.45,0.84,87.17,112.13,27.37,95.81,28.98,7.08,90.67,0.04,0.01,32.06,59.54,14.53,98.32,4.12,1.00,58.16,1.90,0.46,96.28,1.90,0.46,94.11
