CLOUD_COVER,ID_completo,EARTH_SUN_DISTANCE,Fecha,ID,IMAGE_QUALITY_TIER,INDEX_ID,SUN_AZIMUTH,SUN_ELEVATION,Satelite,Sensor,WRS_PATH,WRS_ROW
7.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010414,1.0030824,2001-04-14,1_1_2_LE07_198030_20010414,,LE07_198030_20010414,144.1530252,51.34633396,LANDSAT_7,ETM,198,30
67.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010422,1.0052969,2001-04-22,1_1_1_LT05_198030_20010422,,LT05_198030_20010422,139.20458693,52.91274478,LANDSAT_5,TM,198,30
70.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010508,1.0093762,2001-05-08,1_1_1_LT05_198030_20010508,,LT05_198030_20010508,135.61203699,57.34874166,LANDSAT_5,TM,198,30
13.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010516,1.0111673,2001-05-16,1_1_2_LE07_198030_20010516,,LE07_198030_20010516,137.3362913,60.26319289,LANDSAT_7,ETM,198,30
40.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010601,1.0140937,2001-06-01,1_1_2_LE07_198030_20010601,,LE07_198030_20010601,133.28822823,62.49747599,LANDSAT_7,ETM,198,30
99.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010609,1.0151777,2001-06-09,1_1_1_LT05_198030_20010609,,LT05_198030_20010609,127.94892622,61.6962104,LANDSAT_5,TM,198,30
61.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20010617,1.0159823,2001-06-17,1_1_2_LE07_198030_20010617,,LE07_198030_20010617,130.29882941,63.10316734,LANDSAT_7,ETM,198,30
17.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20010625,1.0164937,2001-06-25,1_1_1_LT05_198030_20010625,,LT05_198030_20010625,126.09961411,61.52966767,LANDSAT_5,TM,198,30
8.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20011007,0.999359,2001-10-07,1_1_2_LE07_198030_20011007,,LE07_198030_20011007,155.42654135,38.21032439,LANDSAT_7,ETM,198,30
53.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20011015,0.9970706,2001-10-15,1_1_1_LT05_198030_20011015,,LT05_198030_20011015,154.78773885,34.86685362,LANDSAT_5,TM,198,30
88.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20011023,0.9948328,2001-10-23,1_1_2_LE07_198030_20011023,,LE07_198030_20011023,158.62437714,32.84312503,LANDSAT_7,ETM,198,30
68.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20011108,0.9906811,2001-11-08,1_1_2_LE07_198030_20011108,,LE07_198030_20011108,160.3907457,27.9192048,LANDSAT_7,ETM,198,30
10.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20011124,0.9872295,2001-11-24,1_1_2_LE07_198030_20011124,,LE07_198030_20011124,160.77486397,23.91659625,LANDSAT_7,ETM,198,30
17.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20011210,0.9847551,2001-12-10,1_1_2_LE07_198030_20011210,,LE07_198030_20011210,159.99644361,21.31129697,LANDSAT_7,ETM,198,30
3.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20011218,0.983951,2001-12-18,1_1_1_LT05_198030_20011218,,LT05_198030_20011218,157.01118962,19.96335831,LANDSAT_5,TM,198,30
47.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20011226,0.9834598,2001-12-26,1_1_2_LE07_198030_20011226,,LE07_198030_20011226,158.30525681,20.40636177,LANDSAT_7,ETM,198,30
30.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20020103,0.9832919,2002-01-03,1_1_1_LT05_198030_20020103,,LT05_198030_20020103,154.95996737,19.9217124,LANDSAT_5,TM,198,30
14.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020111,0.9834506,2002-01-11,1_1_2_LE07_198030_20020111,,LE07_198030_20020111,156.08754408,21.37455927,LANDSAT_7,ETM,198,30
100.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20020119,0.9839327,2002-01-19,1_1_1_LT05_198030_20020119,,LT05_198030_20020119,152.52629358,21.73640328,LANDSAT_5,TM,198,30
67.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020127,0.9847282,2002-01-27,1_1_2_LE07_198030_20020127,,LE07_198030_20020127,153.74608765,24.17883207,LANDSAT_7,ETM,198,30
6.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20020204,0.9858205,2002-02-04,1_1_1_LT05_198030_20020204,,LT05_198030_20020204,150.04841448,25.255424,LANDSAT_5,TM,198,30
1.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020212,0.9871871,2002-02-12,1_1_2_LE07_198030_20020212,,LE07_198030_20020212,151.50886667,28.51358994,LANDSAT_7,ETM,198,30
81.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20020220,0.9888,2002-02-20,1_1_1_LT05_198030_20020220,,LT05_198030_20020220,147.69126455,30.14532305,LANDSAT_5,TM,198,30
100.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020228,0.9906266,2002-02-28,1_1_2_LE07_198030_20020228,,LE07_198030_20020228,149.51215713,34.00356409,LANDSAT_7,ETM,198,30
97.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020316,0.9947706,2002-03-16,1_1_2_LE07_198030_20020316,,LE07_198030_20020316,147.64811117,40.12150187,LANDSAT_7,ETM,198,30
0.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20020324,0.9970063,2002-03-24,1_1_1_LT05_198030_20020324,,LT05_198030_20020324,143.26676075,42.06908361,LANDSAT_5,TM,198,30
22.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020401,0.9992938,2002-04-01,1_1_2_LE07_198030_20020401,,LE07_198030_20020401,145.67385462,46.35008138,LANDSAT_7,ETM,198,30
5.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020417,1.00385,2002-04-17,1_1_2_LE07_198030_20020417,,LE07_198030_20020417,143.22217769,52.15338688,LANDSAT_7,ETM,198,30
87.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020503,1.0080996,2002-05-03,1_1_2_LE07_198030_20020503,,LE07_198030_20020503,140.06989913,57.06743552,LANDSAT_7,ETM,198,30
45.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020519,1.0117339,2002-05-19,1_1_2_LE07_198030_20020519,,LE07_198030_20020519,136.12196987,60.61164531,LANDSAT_7,ETM,198,30
3.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20020612,1.0154852,2002-06-12,1_1_1_LT05_198030_20020612,,LT05_198030_20020612,125.90798675,61.14546287,LANDSAT_5,TM,198,30
86.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20020620,1.0161907,2002-06-20,1_1_2_LE07_198030_20020620,,LE07_198030_20020620,129.60632744,62.92079303,LANDSAT_7,ETM,198,30
70.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20020628,1.0165993,2002-06-28,1_1_1_LT05_198030_20020628,,LT05_198030_20020628,124.38965246,60.67313202,LANDSAT_5,TM,198,30
54.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20021026,0.9940859,2002-10-26,1_1_2_LE07_198030_20021026,,LE07_198030_20021026,158.8692574,31.90167798,LANDSAT_7,ETM,198,30
80.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20021111,0.990032,2002-11-11,1_1_2_LE07_198030_20021111,,LE07_198030_20021111,160.43843103,27.12474346,LANDSAT_7,ETM,198,30
16.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20021127,0.98673,2002-11-27,1_1_2_LE07_198030_20021127,,LE07_198030_20021127,160.61272535,23.33126576,LANDSAT_7,ETM,198,30
6.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20021213,0.9844457,2002-12-13,1_1_2_LE07_198030_20021213,,LE07_198030_20021213,159.6556261,20.98860032,LANDSAT_7,ETM,198,30
51.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20021229,0.983366,2002-12-29,1_1_2_LE07_198030_20021229,,LE07_198030_20021229,157.88152657,20.42113871,LANDSAT_7,ETM,198,30
3.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20030114,0.9835801,2003-01-14,1_1_2_LE07_198030_20030114,,LE07_198030_20030114,155.62773828,21.7212713,LANDSAT_7,ETM,198,30
93.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20030130,0.9850703,2003-01-30,1_1_2_LE07_198030_20030130,,LE07_198030_20030130,153.29695787,24.80772707,LANDSAT_7,ETM,198,30
62.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20030215,0.9877137,2003-02-15,1_1_2_LE07_198030_20030215,,LE07_198030_20030215,151.09181885,29.37095068,LANDSAT_7,ETM,198,30
8.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20030319,0.995528,2003-03-19,1_1_2_LE07_198030_20030319,,LE07_198030_20030319,147.25073854,41.19216785,LANDSAT_7,ETM,198,30
30.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20030404,1.0000815,2003-04-04,1_1_2_LE07_198030_20030404,,LE07_198030_20030404,145.27441602,47.39353037,LANDSAT_7,ETM,198,30
96.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20030420,1.0046086,2003-04-20,1_1_2_LE07_198030_20030420,,LE07_198030_20030420,142.75025929,53.08854005,LANDSAT_7,ETM,198,30
21.0,LANDSAT/LE07/C02/T1_TOA/LE07_198030_20030522,1.0122747,2003-05-22,1_1_2_LE07_198030_20030522,,LE07_198030_20030522,135.4918323,61.0942258,LANDSAT_7,ETM,198,30
79.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20031005,1.0000831,2003-10-05,1_1_1_LT05_198030_20031005,,LT05_198030_20031005,151.77984865,38.23437329,LANDSAT_5,TM,198,30
92.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20040109,0.9833663,2004-01-09,1_1_1_LT05_198030_20040109,,LT05_198030_20040109,154.12768169,20.34179941,LANDSAT_5,TM,198,30
84.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20040125,0.9844455,2004-01-25,1_1_1_LT05_198030_20040125,,LT05_198030_20040125,151.71358862,22.80097578,LANDSAT_5,TM,198,30
1.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20040210,0.9867294,2004-02-10,1_1_1_LT05_198030_20040210,,LT05_198030_20040210,149.34436656,26.87151404,LANDSAT_5,TM,198,30
83.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20040226,0.990031,2004-02-26,1_1_1_LT05_198030_20040226,,LT05_198030_20040226,147.14414715,32.15337921,LANDSAT_5,TM,198,30
48.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20040329,0.9985706,2004-03-29,1_1_1_LT05_198030_20040329,,LT05_198030_20040329,143.00005211,44.41564891,LANDSAT_5,TM,198,30
2.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20040516,1.0112131,2004-05-16,1_1_1_LT05_198030_20040516,,LT05_198030_20040516,133.73244559,59.18928787,LANDSAT_5,TM,198,30
46.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041007,0.9992955,2004-10-07,1_1_1_LT05_198030_20041007,,LT05_198030_20041007,154.4456198,37.85612289,LANDSAT_5,TM,198,30
17.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041023,0.9947725,2004-10-23,1_1_1_LT05_198030_20041023,,LT05_198030_20041023,157.68720819,32.51822471,LANDSAT_5,TM,198,30
31.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041124,0.9871891,2004-11-24,1_1_1_LT05_198030_20041124,,LT05_198030_20041124,160.00552018,23.68029352,LANDSAT_5,TM,198,30
60.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041210,0.98473,2004-12-10,1_1_1_LT05_198030_20041210,,LT05_198030_20041210,159.27072848,21.08832105,LANDSAT_5,TM,198,30
79.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041226,0.9834521,2004-12-26,1_1_1_LT05_198030_20041226,,LT05_198030_20041226,157.62188767,20.21574241,LANDSAT_5,TM,198,30
5.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050111,0.9834609,2005-01-11,1_1_1_LT05_198030_20050111,,LT05_198030_20050111,155.44334346,21.22111272,LANDSAT_5,TM,198,30
46.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050127,0.9847556,2005-01-27,1_1_1_LT05_198030_20050127,,LT05_198030_20050127,153.11297792,24.045869,LANDSAT_5,TM,198,30
89.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050212,0.9872295,2005-02-12,1_1_1_LT05_198030_20050212,,LT05_198030_20050212,150.90019729,28.4159045,LANDSAT_5,TM,198,30
38.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050228,0.9906804,2005-02-28,1_1_1_LT05_198030_20050228,,LT05_198030_20050228,148.90885459,33.91113078,LANDSAT_5,TM,198,30
12.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050316,0.9948317,2005-03-16,1_1_1_LT05_198030_20050316,,LT05_198030_20050316,147.04545902,40.04081462,LANDSAT_5,TM,198,30
22.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050401,0.9993574,2005-04-01,1_1_1_LT05_198030_20050401,,LT05_198030_20050401,145.07690957,46.27876285,LANDSAT_5,TM,198,30
35.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050417,1.0039113,2005-04-17,1_1_1_LT05_198030_20050417,,LT05_198030_20050417,142.64895499,52.09075066,LANDSAT_5,TM,198,30
45.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050503,1.008154,2005-05-03,1_1_1_LT05_198030_20050503,,LT05_198030_20050503,139.48780505,56.98242271,LANDSAT_5,TM,198,30
3.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050519,1.0117776,2005-05-19,1_1_1_LT05_198030_20050519,,LT05_198030_20050519,135.61099806,60.53099354,LANDSAT_5,TM,198,30
92.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050604,1.014525,2005-06-04,1_1_1_LT05_198030_20050604,,LT05_198030_20050604,131.80148481,62.47058451,LANDSAT_5,TM,198,30
60.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050620,1.0162048,2005-06-20,1_1_1_LT05_198030_20050620,,LT05_198030_20050620,129.26811979,62.80196284,LANDSAT_5,TM,198,30
14.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20051111,0.9899813,2005-11-11,1_1_1_LT05_198030_20051111,,LT05_198030_20051111,160.58423184,27.08730202,LANDSAT_5,TM,198,30
86.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060215,0.9877583,2006-02-15,1_1_1_LT05_198030_20060215,,LT05_198030_20060215,151.63193685,29.66733504,LANDSAT_5,TM,198,30
78.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060303,0.9913505,2006-03-03,1_1_1_LT05_198030_20060303,,LT05_198030_20060303,149.78460835,35.34801829,LANDSAT_5,TM,198,30
18.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060404,1.000145,2006-04-04,1_1_1_LT05_198030_20060404,,LT05_198030_20060404,146.22614415,47.79971073,LANDSAT_5,TM,198,30
36.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060420,1.0046689,2006-04-20,1_1_1_LT05_198030_20060420,,LT05_198030_20060420,143.87808992,53.5314216,LANDSAT_5,TM,198,30
90.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060506,1.0088262,2006-05-06,1_1_1_LT05_198030_20060506,,LT05_198030_20060506,140.73697302,58.2715689,LANDSAT_5,TM,198,30
83.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060522,1.0123163,2006-05-22,1_1_1_LT05_198030_20060522,,LT05_198030_20060522,136.94316807,61.61476003,LANDSAT_5,TM,198,30
1.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060607,1.0148923,2006-06-07,1_1_1_LT05_198030_20060607,,LT05_198030_20060607,133.30476548,63.32435001,LANDSAT_5,TM,198,30
16.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20060623,1.0163754,2006-06-23,1_1_1_LT05_198030_20060623,,LT05_198030_20060623,131.13015625,63.4441383,LANDSAT_5,TM,198,30
41.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061029,0.9932936,2006-10-29,1_1_1_LT05_198030_20061029,,LT05_198030_20061029,161.03749168,31.33409852,LANDSAT_5,TM,198,30
2.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061114,0.9893564,2006-11-14,1_1_1_LT05_198030_20061114,,LT05_198030_20061114,162.19099463,26.67194116,LANDSAT_5,TM,198,30
30.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061130,0.9862251,2006-11-30,1_1_1_LT05_198030_20061130,,LT05_198030_20061130,162.04682257,23.12851237,LANDSAT_5,TM,198,30
6.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061216,0.9841526,2006-12-16,1_1_1_LT05_198030_20061216,,LT05_198030_20061216,160.84480726,21.11973844,LANDSAT_5,TM,198,30
94.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070101,0.9833088,2007-01-01,1_1_1_LT05_198030_20070101,,LT05_198030_20070101,158.90452542,20.92089419,LANDSAT_5,TM,198,30
4.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070117,0.9837636,2007-01-17,1_1_1_LT05_198030_20070117,,LT05_198030_20070117,156.63071444,22.60299229,LANDSAT_5,TM,198,30
61.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070202,0.9854793,2007-02-02,1_1_1_LT05_198030_20070202,,LT05_198030_20070202,154.35521231,26.03611478,LANDSAT_5,TM,198,30
94.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070306,0.9920396,2007-03-06,1_1_1_LT05_198030_20070306,,LT05_198030_20070306,150.46782942,36.67772191,LANDSAT_5,TM,198,30
15.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070509,1.0094787,2007-05-09,1_1_1_LT05_198030_20070509,,LT05_198030_20070509,140.96677481,59.17314445,LANDSAT_5,TM,198,30
75.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070525,1.0128279,2007-05-25,1_1_1_LT05_198030_20070525,,LT05_198030_20070525,136.99204983,62.22125209,LANDSAT_5,TM,198,30
34.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070610,1.0152273,2007-06-10,1_1_1_LT05_198030_20070610,,LT05_198030_20070610,133.36788901,63.62545288,LANDSAT_5,TM,198,30
54.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070626,1.0165107,2007-06-26,1_1_1_LT05_198030_20070626,,LT05_198030_20070626,131.40600976,63.44777579,LANDSAT_5,TM,198,30
99.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20080324,0.9971322,2008-03-24,1_1_1_LT05_198030_20080324,,LT05_198030_20080324,146.91367681,43.55987845,LANDSAT_5,TM,198,30
28.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20080425,1.00615,2008-04-25,1_1_1_LT05_198030_20080425,,LT05_198030_20080425,141.73152266,54.94228338,LANDSAT_5,TM,198,30
63.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20081002,1.000743,2008-10-02,1_1_1_LT05_198030_20081002,,LT05_198030_20081002,153.12345201,39.50427443,LANDSAT_5,TM,198,30
59.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20081103,0.991873,2008-11-03,1_1_1_LT05_198030_20081103,,LT05_198030_20081103,158.6013222,28.92924007,LANDSAT_5,TM,198,30
41.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20090122,0.9842152,2009-01-22,1_1_1_LT05_198030_20090122,,LT05_198030_20090122,153.65979269,22.93567961,LANDSAT_5,TM,198,30
86.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20090207,0.9863351,2009-02-07,1_1_1_LT05_198030_20090207,,LT05_198030_20090207,151.42208887,26.87454572,LANDSAT_5,TM,198,30
60.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20090223,0.9895049,2009-02-23,1_1_1_LT05_198030_20090223,,LT05_198030_20090223,149.39846441,32.08606834,LANDSAT_5,TM,198,30
65.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20090311,0.9934686,2009-03-11,1_1_1_LT05_198030_20090311,,LT05_198030_20090311,147.55875528,38.08757011,LANDSAT_5,TM,198,30
46.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20090327,0.9979129,2009-03-27,1_1_1_LT05_198030_20090327,,LT05_198030_20090327,145.70369077,44.36839877,LANDSAT_5,TM,198,30
52.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20090428,1.0068703,2009-04-28,1_1_1_LT05_198030_20090428,,LT05_198030_20090428,140.65790655,55.63412636,LANDSAT_5,TM,198,30
85.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20090615,1.0157979,2009-06-15,1_1_1_LT05_198030_20090615,,LT05_198030_20090615,130.1887157,62.98520774,LANDSAT_5,TM,198,30
10.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091005,0.999956,2009-10-05,1_1_1_LT05_198030_20091005,,LT05_198030_20091005,155.60999747,39.03518735,LANDSAT_5,TM,198,30
66.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091106,0.9911888,2009-11-06,1_1_1_LT05_198030_20091106,,LT05_198030_20091106,160.7692572,28.59979971,LANDSAT_5,TM,198,30
70.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091122,0.9876301,2009-11-22,1_1_1_LT05_198030_20091122,,LT05_198030_20091122,161.30257897,24.46693064,LANDSAT_5,TM,198,30
33.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20091208,0.9850162,2009-12-08,1_1_1_LT05_198030_20091208,,LT05_198030_20091208,160.62870325,21.66734492,LANDSAT_5,TM,198,30
85.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100109,0.9833814,2010-01-09,1_1_1_LT05_198030_20100109,,LT05_198030_20100109,156.87180805,21.31403965,LANDSAT_5,TM,198,30
75.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100125,0.9844955,2010-01-25,1_1_1_LT05_198030_20100125,,LT05_198030_20100125,154.53776275,23.9119563,LANDSAT_5,TM,198,30
70.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100210,0.98681,2010-02-10,1_1_1_LT05_198030_20100210,,LT05_198030_20100210,152.31576348,28.10597596,LANDSAT_5,TM,198,30
50.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100226,0.9901357,2010-02-26,1_1_1_LT05_198030_20100226,,LT05_198030_20100226,150.32591774,33.48316598,LANDSAT_5,TM,198,30
10.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100314,0.9942051,2010-03-14,1_1_1_LT05_198030_20100314,,LT05_198030_20100314,148.50403502,39.56520179,LANDSAT_5,TM,198,30
93.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100330,0.9986975,2010-03-30,1_1_1_LT05_198030_20100330,,LT05_198030_20100330,146.6200854,45.82125136,LANDSAT_5,TM,198,30
52.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100415,1.0032681,2010-04-15,1_1_1_LT05_198030_20100415,,LT05_198030_20100415,144.33775314,51.73110136,LANDSAT_5,TM,198,30
64.0,LANDSAT/LT05/C02/T1_TOA/LT05_198030_20100517,1.0113042,2010-05-17,1_1_1_LT05_198030_20100517,,LT05_198030_20100517,137.53965242,60.54548051,LANDSAT_5,TM,198,30
